"customer_id","first_name","last_name","gender","city","region","occupation","account_type","income_band","account_status","transaction_count","total_transaction_value","platform_revenue","average_transaction_value","last_transaction_date","customer_value_segment","activity_segment"
"CUST010829","Hamza","Shah","Male","Sialkot","Central","Business Owner","Premium Account","Upper-Middle","Active","339","5462723.59","34109.44","16114.23","2025-12-31","VIP","Very Active"
"CUST001847","Ayesha","Farooq","Male","Lahore","Central","Student","Digital Wallet","Middle","Active","363","5005945.10","31788.34","13790.48","2025-12-28","VIP","Very Active"
"CUST005345","Saad","Khan","Male","Rawalpindi","North","Business Owner","Digital Wallet","Upper-Middle","Active","358","4741622.79","32415.86","13244.76","2025-12-31","VIP","Very Active"
"CUST010293","Talha","Farooq","Male","Karachi","South","Salaried","Current Account","Lower-Middle","Active","296","4451795.17","27915.35","15039.85","2025-12-31","VIP","Very Active"
"CUST000123","Saad","Aslam","Male","Islamabad","North","Freelancer","Digital Wallet","Upper-Middle","Active","240","4036747.99","25789.71","16819.78","2025-12-31","VIP","Very Active"
"CUST000776","Talha","Butt","Female","Hyderabad","South","Freelancer","Current Account","Upper-Middle","Active","239","3529556.82","21882.77","14768.02","2025-12-28","VIP","Very Active"
"CUST006766","Hassan","Raza","Female","Faisalabad","Central","Self-Employed","Savings Account","Low","Dormant","217","3475457.69","21614.18","16015.93","2025-12-31","VIP","Very Active"
"CUST011949","Maham","Raza","Male","Faisalabad","Central","Salaried","Savings Account","Upper-Middle","Active","177","3307200.61","20309.79","18684.75","2025-12-30","VIP","Very Active"
"CUST004769","Usman","Siddiqui","Female","Abbottabad","North","Business Owner","Savings Account","Middle","Active","210","3216993.04","22101.05","15319.01","2025-12-27","VIP","Very Active"
"CUST011641","Saad","Farooq","Female","Hyderabad","South","Salaried","Savings Account","Middle","Active","205","3143053.44","21509.59","15331.97","2025-12-28","VIP","Very Active"
"CUST000379","Talha","Hussain","Male","Gujranwala","Central","Salaried","Savings Account","Middle","Dormant","188","2921899.24","20481.63","15542.02","2025-12-20","VIP","Very Active"
"CUST007799","Saad","Aslam","Female","Gujranwala","Central","Business Owner","Digital Wallet","Middle","Active","196","2783934.10","17924.60","14203.75","2025-12-30","VIP","Very Active"
"CUST002900","Omar","Raza","Female","Lahore","Central","Business Owner","Digital Wallet","Lower-Middle","Active","174","2719439.75","18006.01","15628.96","2025-12-31","VIP","Very Active"
"CUST004702","Hamza","Qureshi","Female","Lahore","Central","Self-Employed","Digital Wallet","Upper-Middle","Dormant","171","2708712.27","17230.87","15840.42","2025-12-27","VIP","Very Active"
"CUST001070","Ahmed","Shah","Female","Gujranwala","Central","Self-Employed","Digital Wallet","Middle","Active","137","2528550.34","14326.84","18456.57","2025-12-30","VIP","Very Active"
"CUST005606","Hamza","Siddiqui","Female","Gujranwala","Central","Salaried","Savings Account","Low","Active","156","2438972.87","14698.04","15634.44","2025-12-27","VIP","Very Active"
"CUST003370","Sara","Ahmed","Male","Gujranwala","Central","Salaried","Digital Wallet","Middle","Active","156","2319932.60","14525.69","14871.36","2025-12-31","VIP","Very Active"
"CUST000151","Hamza","Raza","Male","Sukkur","South","Self-Employed","Current Account","Low","Dormant","159","2306349.23","14734.47","14505.34","2025-12-26","VIP","Very Active"
"CUST009666","Fatima","Hussain","Male","Karachi","South","Freelancer","Savings Account","Middle","Active","117","2297483.76","15059.89","19636.61","2025-12-23","VIP","Very Active"
"CUST000391","Bilal","Hussain","Female","Gujranwala","Central","Retired","Current Account","Middle","Active","155","2292017.28","14218.31","14787.21","2025-12-17","VIP","Very Active"
"CUST003294","Fatima","Raza","Female","Sialkot","Central","Salaried","Current Account","Lower-Middle","Active","148","2283080.38","15742.65","15426.22","2025-12-30","VIP","Very Active"
"CUST011842","Ayesha","Iqbal","Male","Karachi","South","Student","Savings Account","Lower-Middle","Active","170","2231240.65","16660.38","13124.95","2025-12-27","VIP","Very Active"
"CUST002943","Zainab","Iqbal","Male","Sukkur","South","Self-Employed","Digital Wallet","Upper-Middle","Active","150","2196788.15","12882.73","14645.25","2025-12-17","VIP","Very Active"
"CUST003157","Ahmed","Butt","Female","Abbottabad","North","Self-Employed","Savings Account","Lower-Middle","Active","152","2157810.39","14011.61","14196.12","2025-12-19","VIP","Very Active"
"CUST003980","Fatima","Shah","Female","Lahore","Central","Salaried","Digital Wallet","Upper-Middle","Active","134","2151259.83","13542.18","16054.18","2025-12-30","VIP","Very Active"
"CUST003282","Bilal","Aslam","Male","Islamabad","North","Self-Employed","Savings Account","Middle","Active","146","2129410.22","14463.01","14585.00","2025-12-30","VIP","Very Active"
"CUST010443","Talha","Mirza","Female","Gwadar","West","Business Owner","Digital Wallet","Middle","Active","100","2126238.04","12910.74","21262.38","2025-12-13","VIP","Very Active"
"CUST010691","Maham","Sheikh","Male","Sukkur","South","Student","Current Account","Lower-Middle","Active","129","2058697.76","13768.49","15958.90","2025-12-21","VIP","Very Active"
"CUST011887","Bilal","Mirza","Male","Gwadar","West","Business Owner","Premium Account","High","Active","105","2055879.12","13693.32","19579.80","2025-12-30","VIP","Very Active"
"CUST009398","Ahmed","Siddiqui","Female","Sukkur","South","Business Owner","Digital Wallet","Middle","Active","133","2044647.87","13586.79","15373.29","2025-12-31","VIP","Very Active"
"CUST003329","Hamza","Qureshi","Female","Faisalabad","Central","Self-Employed","Current Account","Low","Active","110","2001328.80","12439.06","18193.90","2025-12-25","VIP","Very Active"
"CUST005131","Ayesha","Javed","Male","Islamabad","North","Salaried","Current Account","Middle","Active","111","1995428.56","11784.52","17976.83","2025-12-14","VIP","Very Active"
"CUST004589","Hassan","Raza","Female","Gujranwala","Central","Self-Employed","Digital Wallet","Upper-Middle","Active","133","1980660.76","13779.80","14892.19","2025-12-31","VIP","Very Active"
"CUST001664","Fatima","Butt","Male","Peshawar","North","Business Owner","Current Account","Middle","Dormant","100","1919382.61","10834.00","19193.83","2025-12-30","VIP","Very Active"
"CUST007405","Bilal","Raza","Male","Faisalabad","Central","Self-Employed","Current Account","Middle","Active","124","1907765.53","11792.98","15385.21","2025-12-23","VIP","Very Active"
"CUST011963","Ahmed","Mirza","Male","Hyderabad","South","Business Owner","Current Account","Low","Active","129","1901973.93","12424.18","14743.98","2025-12-30","VIP","Very Active"
"CUST000279","Sana","Iqbal","Male","Sukkur","South","Salaried","Current Account","Lower-Middle","Active","114","1898283.46","11424.13","16651.61","2025-12-29","VIP","Very Active"
"CUST008174","Sana","Butt","Male","Gujranwala","Central","Salaried","Current Account","Low","Active","121","1878285.01","12626.15","15523.02","2025-12-31","VIP","Very Active"
"CUST004401","Sara","Shah","Male","Hyderabad","South","Salaried","Savings Account","Upper-Middle","Dormant","132","1874490.82","12728.27","14200.69","2025-12-23","VIP","Very Active"
"CUST011867","Bilal","Malik","Male","Lahore","Central","Salaried","Current Account","Middle","Active","135","1865088.64","12999.63","13815.47","2025-12-30","VIP","Very Active"
"CUST006224","Usman","Ahmed","Female","Rawalpindi","North","Business Owner","Savings Account","Low","Active","98","1848334.25","10486.76","18860.55","2025-12-23","VIP","Active"
"CUST005897","Ali","Sheikh","Male","Rawalpindi","North","Business Owner","Savings Account","Middle","Active","87","1843127.71","10633.14","21185.38","2025-12-30","VIP","Active"
"CUST001971","Danish","Hussain","Female","Rawalpindi","North","Salaried","Premium Account","High","Dormant","121","1841803.88","11896.56","15221.52","2025-12-28","VIP","Very Active"
"CUST009623","Noor","Aslam","Male","Quetta","West","Freelancer","Current Account","High","Active","115","1839392.96","10786.02","15994.72","2025-12-28","VIP","Very Active"
"CUST010080","Usman","Javed","Female","Sukkur","South","Salaried","Digital Wallet","Middle","Dormant","128","1835397.44","11487.67","14339.04","2025-12-26","VIP","Very Active"
"CUST003558","Zainab","Javed","Female","Quetta","West","Business Owner","Digital Wallet","Middle","Active","130","1821828.98","12294.04","14014.07","2025-12-29","VIP","Very Active"
"CUST005340","Ahmed","Mirza","Male","Islamabad","North","Salaried","Savings Account","Upper-Middle","Active","107","1821422.53","11444.21","17022.64","2025-12-13","VIP","Very Active"
"CUST004699","Zainab","Aslam","Male","Lahore","Central","Self-Employed","Digital Wallet","Low","Active","133","1783240.24","11633.55","13407.82","2025-12-26","VIP","Very Active"
"CUST001240","Hassan","Khan","Female","Abbottabad","North","Business Owner","Current Account","Middle","Dormant","99","1772233.93","10380.98","17901.35","2025-12-25","VIP","Active"
