"customer_id","first_name","last_name","region","account_type","account_status","transaction_count","total_transaction_value","platform_revenue","average_transaction_value","last_transaction_date","activity_risk_status","customer_value_segment"
"CUST010829","Hamza","Shah","Central","Premium Account","Active","339","5462723.59","34109.44","16114.23","2025-12-31","Active","VIP"
"CUST001847","Ayesha","Farooq","Central","Digital Wallet","Active","363","5005945.10","31788.34","13790.48","2025-12-28","Active","VIP"
"CUST005345","Saad","Khan","North","Digital Wallet","Active","358","4741622.79","32415.86","13244.76","2025-12-31","Active","VIP"
"CUST010293","Talha","Farooq","South","Current Account","Active","296","4451795.17","27915.35","15039.85","2025-12-31","Active","VIP"
"CUST000123","Saad","Aslam","North","Digital Wallet","Active","240","4036747.99","25789.71","16819.78","2025-12-31","Active","VIP"
"CUST000776","Talha","Butt","South","Current Account","Active","239","3529556.82","21882.77","14768.02","2025-12-28","Active","VIP"
"CUST006766","Hassan","Raza","Central","Savings Account","Dormant","217","3475457.69","21614.18","16015.93","2025-12-31","Active","VIP"
"CUST011949","Maham","Raza","Central","Savings Account","Active","177","3307200.61","20309.79","18684.75","2025-12-30","Active","VIP"
"CUST004769","Usman","Siddiqui","North","Savings Account","Active","210","3216993.04","22101.05","15319.01","2025-12-27","Active","VIP"
"CUST011641","Saad","Farooq","South","Savings Account","Active","205","3143053.44","21509.59","15331.97","2025-12-28","Active","VIP"
"CUST000379","Talha","Hussain","Central","Savings Account","Dormant","188","2921899.24","20481.63","15542.02","2025-12-20","Active","VIP"
"CUST007799","Saad","Aslam","Central","Digital Wallet","Active","196","2783934.10","17924.60","14203.75","2025-12-30","Active","VIP"
"CUST002900","Omar","Raza","Central","Digital Wallet","Active","174","2719439.75","18006.01","15628.96","2025-12-31","Active","VIP"
"CUST004702","Hamza","Qureshi","Central","Digital Wallet","Dormant","171","2708712.27","17230.87","15840.42","2025-12-27","Active","VIP"
"CUST001070","Ahmed","Shah","Central","Digital Wallet","Active","137","2528550.34","14326.84","18456.57","2025-12-30","Active","VIP"
"CUST005606","Hamza","Siddiqui","Central","Savings Account","Active","156","2438972.87","14698.04","15634.44","2025-12-27","Active","VIP"
"CUST003370","Sara","Ahmed","Central","Digital Wallet","Active","156","2319932.60","14525.69","14871.36","2025-12-31","Active","VIP"
"CUST000151","Hamza","Raza","South","Current Account","Dormant","159","2306349.23","14734.47","14505.34","2025-12-26","Active","VIP"
"CUST009666","Fatima","Hussain","South","Savings Account","Active","117","2297483.76","15059.89","19636.61","2025-12-23","Active","VIP"
"CUST000391","Bilal","Hussain","Central","Current Account","Active","155","2292017.28","14218.31","14787.21","2025-12-17","Active","VIP"
"CUST003294","Fatima","Raza","Central","Current Account","Active","148","2283080.38","15742.65","15426.22","2025-12-30","Active","VIP"
"CUST011842","Ayesha","Iqbal","South","Savings Account","Active","170","2231240.65","16660.38","13124.95","2025-12-27","Active","VIP"
"CUST002943","Zainab","Iqbal","South","Digital Wallet","Active","150","2196788.15","12882.73","14645.25","2025-12-17","Active","VIP"
"CUST003157","Ahmed","Butt","North","Savings Account","Active","152","2157810.39","14011.61","14196.12","2025-12-19","Active","VIP"
"CUST003980","Fatima","Shah","Central","Digital Wallet","Active","134","2151259.83","13542.18","16054.18","2025-12-30","Active","VIP"
"CUST003282","Bilal","Aslam","North","Savings Account","Active","146","2129410.22","14463.01","14585.00","2025-12-30","Active","VIP"
"CUST010443","Talha","Mirza","West","Digital Wallet","Active","100","2126238.04","12910.74","21262.38","2025-12-13","Active","VIP"
"CUST010691","Maham","Sheikh","South","Current Account","Active","129","2058697.76","13768.49","15958.90","2025-12-21","Active","VIP"
"CUST011887","Bilal","Mirza","West","Premium Account","Active","105","2055879.12","13693.32","19579.80","2025-12-30","Active","VIP"
"CUST009398","Ahmed","Siddiqui","South","Digital Wallet","Active","133","2044647.87","13586.79","15373.29","2025-12-31","Active","VIP"
"CUST003329","Hamza","Qureshi","Central","Current Account","Active","110","2001328.80","12439.06","18193.90","2025-12-25","Active","VIP"
"CUST005131","Ayesha","Javed","North","Current Account","Active","111","1995428.56","11784.52","17976.83","2025-12-14","Active","VIP"
"CUST004589","Hassan","Raza","Central","Digital Wallet","Active","133","1980660.76","13779.80","14892.19","2025-12-31","Active","VIP"
"CUST001664","Fatima","Butt","North","Current Account","Dormant","100","1919382.61","10834.00","19193.83","2025-12-30","Active","VIP"
"CUST007405","Bilal","Raza","Central","Current Account","Active","124","1907765.53","11792.98","15385.21","2025-12-23","Active","VIP"
"CUST011963","Ahmed","Mirza","South","Current Account","Active","129","1901973.93","12424.18","14743.98","2025-12-30","Active","VIP"
"CUST000279","Sana","Iqbal","South","Current Account","Active","114","1898283.46","11424.13","16651.61","2025-12-29","Active","VIP"
"CUST008174","Sana","Butt","Central","Current Account","Active","121","1878285.01","12626.15","15523.02","2025-12-31","Active","VIP"
"CUST004401","Sara","Shah","South","Savings Account","Dormant","132","1874490.82","12728.27","14200.69","2025-12-23","Active","VIP"
"CUST011867","Bilal","Malik","Central","Current Account","Active","135","1865088.64","12999.63","13815.47","2025-12-30","Active","VIP"
"CUST006224","Usman","Ahmed","North","Savings Account","Active","98","1848334.25","10486.76","18860.55","2025-12-23","Active","VIP"
"CUST005897","Ali","Sheikh","North","Savings Account","Active","87","1843127.71","10633.14","21185.38","2025-12-30","Active","VIP"
"CUST001971","Danish","Hussain","North","Premium Account","Dormant","121","1841803.88","11896.56","15221.52","2025-12-28","Active","VIP"
"CUST009623","Noor","Aslam","West","Current Account","Active","115","1839392.96","10786.02","15994.72","2025-12-28","Active","VIP"
"CUST010080","Usman","Javed","South","Digital Wallet","Dormant","128","1835397.44","11487.67","14339.04","2025-12-26","Active","VIP"
"CUST003558","Zainab","Javed","West","Digital Wallet","Active","130","1821828.98","12294.04","14014.07","2025-12-29","Active","VIP"
"CUST005340","Ahmed","Mirza","North","Savings Account","Active","107","1821422.53","11444.21","17022.64","2025-12-13","Active","VIP"
"CUST004699","Zainab","Aslam","Central","Digital Wallet","Active","133","1783240.24","11633.55","13407.82","2025-12-26","Active","VIP"
"CUST001240","Hassan","Khan","North","Current Account","Dormant","99","1772233.93","10380.98","17901.35","2025-12-25","Active","VIP"
"CUST000956","Noor","Malik","South","Digital Wallet","Active","115","1757445.62","11784.16","15282.14","2025-12-31","Active","VIP"
"CUST006498","Ahmed","Aslam","Central","Savings Account","Active","133","1756251.22","11072.86","13204.90","2025-12-27","Active","VIP"
"CUST005087","Sana","Malik","South","Digital Wallet","Active","136","1738701.87","11989.56","12784.57","2025-12-31","Active","VIP"
"CUST000175","Omar","Shah","North","Savings Account","Active","91","1725740.10","11762.59","18964.18","2025-12-16","Active","VIP"
"CUST006144","Danish","Khan","Central","Savings Account","Active","121","1703302.61","11583.21","14076.88","2025-12-23","Active","VIP"
"CUST011549","Saad","Malik","North","Current Account","Active","110","1694581.30","10525.77","15405.28","2025-12-30","Active","VIP"
"CUST007348","Maryam","Ahmed","Central","Current Account","Active","135","1683714.55","11707.39","12471.96","2025-12-31","Active","VIP"
"CUST008149","Danish","Mirza","South","Savings Account","Active","114","1663713.76","11600.41","14593.98","2025-12-10","Active","VIP"
"CUST006913","Hassan","Siddiqui","South","Current Account","Active","119","1643870.38","11401.42","13814.04","2025-12-25","Active","VIP"
"CUST009530","Saad","Siddiqui","North","Savings Account","Active","116","1643482.99","10025.34","14167.96","2025-12-30","Active","VIP"
"CUST002324","Hamza","Mirza","North","Savings Account","Dormant","95","1637862.62","10209.29","17240.66","2025-12-27","Active","VIP"
"CUST004134","Hassan","Javed","Central","Digital Wallet","Active","128","1631608.57","11550.62","12746.94","2025-12-22","Active","VIP"
"CUST001921","Saad","Aslam","Central","Current Account","Active","103","1630124.20","9698.43","15826.45","2025-12-31","Active","VIP"
"CUST006046","Hassan","Khan","Central","Premium Account","Active","111","1623225.00","11185.19","14623.65","2025-12-20","Active","VIP"
"CUST001807","Hassan","Khan","North","Savings Account","Closed","90","1568742.90","10075.41","17430.48","2025-12-30","Active","VIP"
"CUST005581","Fatima","Javed","South","Current Account","Closed","124","1539719.00","10985.78","12417.09","2025-12-29","Active","VIP"
"CUST009507","Ali","Ahmed","Central","Savings Account","Dormant","117","1538895.11","10366.13","13152.95","2025-12-31","Active","VIP"
"CUST001989","Hira","Shah","West","Current Account","Active","137","1525273.80","10400.50","11133.39","2025-12-17","Active","VIP"
"CUST010143","Maryam","Hussain","Central","Digital Wallet","Active","101","1520090.39","9257.53","15050.40","2025-12-24","Active","VIP"
"CUST007291","Danish","Qureshi","Central","Savings Account","Active","100","1517986.84","10273.37","15179.87","2025-12-26","Active","VIP"
"CUST002449","Iqra","Hussain","Central","Digital Wallet","Active","101","1515552.51","9760.48","15005.47","2025-12-23","Active","VIP"
"CUST002816","Hamza","Siddiqui","Central","Savings Account","Active","103","1501762.68","9315.73","14580.22","2025-12-21","Active","VIP"
"CUST003417","Ayesha","Iqbal","Central","Current Account","Active","105","1500756.20","9736.70","14292.92","2025-12-31","Active","VIP"
"CUST010730","Zainab","Butt","South","Digital Wallet","Active","121","1495855.66","10360.53","12362.44","2025-12-30","Active","VIP"
"CUST003317","Talha","Raza","South","Current Account","Dormant","99","1494445.73","9620.58","15095.41","2025-12-30","Active","VIP"
"CUST000823","Talha","Ahmed","North","Premium Account","Active","111","1488077.42","10759.29","13406.10","2025-12-17","Active","VIP"
"CUST009879","Hira","Khan","North","Digital Wallet","Dormant","82","1486009.37","8504.55","18122.07","2025-12-24","Active","VIP"
"CUST010997","Sara","Aslam","Central","Current Account","Active","94","1477104.52","9501.25","15713.88","2025-12-21","Active","VIP"
"CUST002097","Maryam","Raza","North","Savings Account","Active","94","1469433.36","10840.76","15632.27","2025-12-27","Active","VIP"
"CUST004403","Ayesha","Butt","North","Savings Account","Active","97","1468317.96","9216.10","15137.30","2025-12-30","Active","VIP"
"CUST005681","Ahmed","Sheikh","South","Savings Account","Active","88","1463587.46","9163.87","16631.68","2025-12-17","Active","VIP"
"CUST004565","Usman","Qureshi","North","Digital Wallet","Active","90","1463201.74","9345.89","16257.80","2025-12-18","Active","VIP"
"CUST009751","Sara","Shah","West","Current Account","Dormant","75","1456849.24","7847.40","19424.66","2025-12-26","Active","VIP"
"CUST006160","Saad","Hussain","West","Digital Wallet","Active","101","1450678.02","9931.15","14363.15","2025-12-25","Active","VIP"
"CUST002745","Noor","Mirza","Central","Digital Wallet","Active","110","1443070.94","9496.80","13118.83","2025-12-23","Active","VIP"
"CUST005273","Ahmed","Qureshi","South","Savings Account","Active","97","1442403.41","8379.35","14870.14","2025-12-15","Active","VIP"
"CUST006554","Fatima","Hussain","North","Current Account","Dormant","85","1435322.38","9404.32","16886.15","2025-12-21","Active","VIP"
"CUST003750","Fatima","Qureshi","North","Current Account","Active","79","1429486.61","9939.54","18094.77","2025-12-21","Active","VIP"
"CUST004205","Ahmed","Sheikh","South","Current Account","Active","77","1420883.56","8885.43","18453.03","2025-12-31","Active","VIP"
"CUST000973","Hira","Butt","North","Digital Wallet","Active","90","1390547.40","8414.02","15450.53","2025-12-31","Active","VIP"
"CUST007863","Sana","Khan","North","Premium Account","Active","102","1384498.72","8497.79","13573.52","2025-12-14","Active","VIP"
"CUST009541","Ayesha","Qureshi","West","Digital Wallet","Active","96","1362168.04","8855.57","14189.25","2025-12-27","Active","VIP"
"CUST006294","Sara","Raza","West","Digital Wallet","Active","90","1360414.41","9128.53","15115.72","2025-12-31","Active","VIP"
"CUST009817","Sara","Shah","North","Digital Wallet","Active","78","1358323.96","8939.43","17414.41","2025-12-03","Active","VIP"
"CUST008769","Hassan","Sheikh","Central","Savings Account","Dormant","87","1348900.32","8636.03","15504.60","2025-12-24","Active","VIP"
"CUST006659","Zainab","Shah","South","Digital Wallet","Active","80","1337552.74","9809.52","16719.41","2025-12-29","Active","VIP"
