customer_id,first_name,last_name,gender,date_of_birth,city,region,occupation,account_type,signup_date,income_band,account_status
CUST000001,Ali,Siddiqui,Male,1972-02-25,Sukkur,South,Business Owner,Digital Wallet,2023-11-24,Middle,Active
CUST000002,Usman,Mirza,Male,1996-05-22,Sialkot,Central,Salaried,Premium Account,2022-07-07,Low,Active
CUST000003,Ahmed,Shah,Male,1978-09-06,Hyderabad,South,Business Owner,Digital Wallet,2023-05-03,Upper-Middle,Dormant
CUST000004,Fatima,Qureshi,Male,1987-06-05,Hyderabad,South,Self-Employed,Digital Wallet,2024-12-30,Lower-Middle,Active
CUST000005,Ahmed,Iqbal,Male,2002-03-10,Abbottabad,North,Salaried,Current Account,2024-04-12,High,Active
CUST000006,Hamza,Iqbal,Female,1972-12-13,Quetta,West,Business Owner,Digital Wallet,2025-09-14,Low,Active
CUST000007,Fatima,Ahmed,Male,1982-03-08,Karachi,South,Salaried,Digital Wallet,2024-11-27,Middle,Active
CUST000008,Sara,Mirza,Female,1972-02-03,Sukkur,South,Salaried,Digital Wallet,2023-05-09,Middle,Active
CUST000009,Ali,Sheikh,Male,1982-05-14,Rawalpindi,North,Self-Employed,Current Account,2024-11-15,Middle,Active
CUST000010,Maryam,Farooq,Male,1977-02-12,Lahore,Central,Salaried,Savings Account,2025-03-30,High,Active
CUST000011,Hira,Qureshi,Male,2002-08-09,Gujranwala,Central,Freelancer,Current Account,2024-05-13,Lower-Middle,Active
CUST000012,Ali,Malik,Female,1977-06-23,Quetta,West,Salaried,Savings Account,2024-11-09,Low,Active
CUST000013,Ahmed,Javed,Male,1990-12-08,Sialkot,Central,Salaried,Premium Account,2023-11-21,Middle,Active
CUST000014,Talha,Khan,Female,1970-03-25,Karachi,South,Salaried,Savings Account,2025-06-01,Middle,Active
CUST000015,Ayesha,Mirza,Female,1983-04-01,Gujranwala,Central,Freelancer,Savings Account,2022-11-22,Middle,Closed
CUST000016,Danish,Iqbal,Female,1999-09-15,Abbottabad,North,Freelancer,Savings Account,2023-08-04,Middle,Active
CUST000017,Hira,Khan,Male,1992-09-26,Lahore,Central,Freelancer,Digital Wallet,2022-12-14,Middle,Active
CUST000018,Hassan,Butt,Female,1976-05-08,Abbottabad,North,Freelancer,Digital Wallet,2022-05-19,Middle,Active
CUST000019,Maryam,Butt,Female,2004-12-18,Karachi,South,Freelancer,Digital Wallet,2024-04-23,Low,Active
CUST000020,Fatima,Shah,Male,1997-11-20,Gujranwala,Central,Retired,Savings Account,2022-06-12,Low,Active
CUST000021,Omar,Ahmed,Female,1981-08-10,Sukkur,South,Self-Employed,Current Account,2022-11-06,Low,Active
CUST000022,Hamza,Siddiqui,Male,2004-09-18,Faisalabad,Central,Business Owner,Current Account,2024-11-10,High,Active
CUST000023,Ayesha,Sheikh,Male,1972-07-18,Quetta,West,Salaried,Savings Account,2022-11-26,High,Active
CUST000024,Talha,Raza,Female,1978-06-13,Karachi,South,Freelancer,Digital Wallet,2025-03-27,Lower-Middle,Active
